transaction_id,customer_id,transaction_datetime,country,channel,merchant_category,amount,device_trust_score,num_txn_24h_customer,previous_chargeback_count,is_fraud,transaction_note
87,1150,2023-05-06T07:03:42,CN,pos_terminal,groceries,2067.09,22,29,1,0,VPN suspected
88,1082,2023-08-08T20:03:58,DE,pos_terminal,travel,3693.69,14,1,1,1,
89,1074,2022-03-18T00:19:36,US,mobile_app,gaming,3206.92,27,3,0,0,high value item
90,1075,2023-01-31T05:39:54,CN,mobile_app,luxury,434.6,33,3,7,0,
91,1146,2022-01-24T08:41:23,JP,web,electronics,799.42,49,5,2,0,new device
92,1095,2024-05-01T22:35:58,SG,pos_terminal,groceries,3402.03,20,4,0,0,
93,1038,2022-12-03T10:54:33,UK,pos_terminal,groceries,2444.65,67,3,3,1,NA
94,1000,2023-03-23T18:04:02,US,pos_terminal,electronics,302.22,70,3,1,0,high value item
95,1114,2024-02-13T12:05:43,SG,pos_terminal,gaming,4964.24,26,1,0,0,high value item
96,1063,2024-08-01T11:09:17,JP,pos_terminal,electronics,3301.33,12,0,0,0,
97,1059,2023-03-21T01:08:32,CN,pos_terminal,travel,2989.99,51,1,1,0,first time merchant
98,1160,2024-05-24T17:31:03,UK,pos_terminal,gaming,2041.89,33,3,1,0,
99,1106,2024-12-21T04:24:15,AU,mobile_app,electronics,4235.82,34,3,0,0,
100,1053,2023-11-13T09:58:00,AU,web,electronics,3771.9,87,3,2,0,first time merchant
101,1127,2024-08-12T03:51:46,DE,mobile_app,groceries,2070.24,38,0,3,0,new device
102,1167,2023-11-23T08:48:52,CN,pos_terminal,luxury,3664.13,27,3,0,0,repeat purchase
103,1105,2022-10-09T20:14:04,DE,web,groceries,1866.63,95,3,8,0,repeat purchase
104,1004,2024-10-25T22:43:27,CN,web,electronics,2622.4,89,6,3,0,VPN suspected
105,1175,2022-06-15T20:54:41,US,web,luxury,2763.95,11,0,3,0,
106,1058,2023-03-09T22:56:36,DE,web,electronics,1402.58,94,6,1,0,high value item
107,1144,2023-05-08T18:53:54,UK,pos_terminal,gaming,3698.99,20,2,3,1,first time merchant
108,1083,2022-03-02T20:17:50,JP,web,gaming,1877.76,84,0,2,0,repeat purchase
109,1039,2024-03-08T10:23:06,US,mobile_app,luxury,1349.56,33,4,3,0,first time merchant
110,1098,2022-01-26T09:26:24,US,pos_terminal,travel,4890.89,31,1,2,0,new device
111,1019,2024-01-10T08:15:46,DE,pos_terminal,travel,535.75,60,4,2,0,
112,1082,2023-02-16T15:20:11,AU,mobile_app,luxury,3910.09,N/A,3,1,0,high value item
113,1053,2024-06-16T09:53:44,AU,mobile_app,luxury,1514.86,29,6,3,0,VPN suspected
114,1107,2022-03-17T11:44:57,US,pos_terminal,electronics,1241.91,NA,0,3,0,
115,1132,2023-03-29T14:23:25,US,pos_terminal,travel,754.57,71,3,0,0,new device
116,1133,2024-09-16T11:30:06,JP,pos_terminal,luxury,1502.02,24,2,1,0,first time merchant
117,1118,2023-04-20T12:40:11,SG,pos_terminal,luxury,3687.2,67,24,1,0,
118,1047,2024-01-20T10:12:29,US,pos_terminal,luxury,3195.9,88,0,3,0,high value item
119,1172,2022-10-02T10:07:15,UK,web,gaming,2554.61,27,3,1,0,new device
120,1091,2022-01-20T15:08:12,JP,pos_terminal,travel,2046.26,66,0,1,0,first time merchant
121,1126,2024-11-12T03:36:07,AU,pos_terminal,gaming,3784.17,66,3,1,0,VPN suspected
122,1030,2023-05-01T06:51:47,UK,mobile_app,travel,830.74,36,6,2,0,new device
123,1068,2024-11-19T21:52:06,MY,mobile_app,electronics,4335.37,26,5,1,0,VPN suspected
124,1096,2024-07-14T02:40:50,SG,web,luxury,1391.85,57,3,0,0,repeat purchase
125,1091,2022-05-10T17:25:13,CN,mobile_app,,1418.68,26,3,9,0,NA
126,1051,2022-09-28T20:19:10,DE,mobile_app,NA,1252.7,93,3,1,0,repeat purchase
127,1132,2024-06-30T00:00:44,US,web,luxury,2389.02,21,0,2,0,
128,1173,2022-10-20T02:33:36,CN,pos_terminal,groceries,3612.44,29,4,1,0,
129,1109,2023-10-07T04:15:17,UK,web,travel,3606.18,13,5,1,0,high value item
130,1061,2024-10-10T12:07:15,CN,pos_terminal,electronics,4888.51,50,6,3,0,
131,1150,2022-05-19T00:16:13,CN,web,luxury,3143.22,63,3,1,0,first time merchant
132,1083,2024-03-11T18:40:48,SG,pos_terminal,electronics,2187.99,40,0,0,0,overnight shipping
133,1003,2022-10-09T22:00:10,CN,mobile_app,travel,4112.71,57,6,0,1,
134,1147,2022-06-07T15:29:32,JP,mobile_app,travel,787.39,83,0,10,1,repeat purchase
135,1009,2024-05-08T07:20:15,MY,pos_terminal,gaming,390.36,74,0,0,0,VPN suspected
136,1022,2024-07-24T00:23:12,UK,mobile_app,travel,1842.0,35,4,1,0,repeat purchase
137,1002,2023-11-18T00:48:42,DE,pos_terminal,gaming,2649.54,72,1,5,0,first time merchant
138,1021,2022-07-15T16:08:40,SG,web,travel,2175.48,40,6,3,0,overnight shipping
139,1034,2022-08-12T04:06:10,DE,mobile_app,luxury,1792.08,67,2,0,0,
140,1083,2022-10-31T02:45:15,UK,pos_terminal,electronics,1301.57,,6,1,1,
141,1102,2024-02-02T21:40:41,DE,pos_terminal,gaming,375.86,35,3,0,0,overnight shipping
142,1146,2024-06-06T23:25:31,JP,pos_terminal,luxury,1074.37,45,1,1,0,first time merchant
143,1107,2023-02-13T20:56:51,US,pos_terminal,travel,4947.03,NA,6,2,0,overnight shipping
144,1120,2024-12-20T11:49:37,SG,web,groceries,1333.37,17,1,3,0,
145,1178,2024-01-05T18:01:45,UK,pos_terminal,travel,4741.89,N/A,1,0,0,repeat purchase
146,1033,2023-11-29T22:11:58,AU,mobile_app,electronics,2933.46,24,6,0,0,VPN suspected
147,1040,2024-06-13T20:31:41,DE,pos_terminal,travel,4644.3,38,6,2,0,new device
148,1100,2022-03-08T05:38:20,CN,pos_terminal,travel,2481.43,19,2,0,0,high value item
149,1063,2022-05-19T11:16:50,JP,web,electronics,3663.19,62,3,3,0,
150,1115,2022-05-31T01:18:01,US,web,electronics,4439.77,19,0,3,0,high value item
151,1025,2023-11-10T06:12:26,SG,pos_terminal,travel,1408.33,16,4,1,1,repeat purchase
152,1051,2022-07-18T00:13:10,DE,web,luxury,1542.46,72,2,3,0,overnight shipping
153,1067,2023-04-09T08:36:03,AU,pos_terminal,electronics,1719.61,85,0,3,0,VPN suspected
154,1101,2022-03-13T16:36:57,JP,pos_terminal,travel,4746.32,31,6,0,0,VPN suspected
155,1152,2023-06-13T10:58:46,US,web,luxury,2760.72,76,6,3,0,first time merchant
156,1027,2022-07-26T09:55:34,AU,mobile_app,gaming,2428.44,14,3,6,0,repeat purchase
157,1005,2023-11-23T09:19:17,SG,pos_terminal,electronics,1140.56,66,2,3,0,VPN suspected
158,1132,2024-02-05T01:32:50,US,mobile_app,travel,3902.8,82,1,1,0,VPN suspected
159,1094,2024-08-08T16:25:40,MY,web,,2231.07,70,2,2,0,overnight shipping
160,1054,2023-03-30T20:14:43,SG,pos_terminal,luxury,4323.29,11,1,0,0,overnight shipping
161,1096,2023-12-16T14:16:13,SG,pos_terminal,travel,1986.37,75,6,2,0,repeat purchase
162,1070,2023-06-19T20:45:57,MY,web,groceries,1202.27,86,2,0,0,overnight shipping
163,1149,2023-01-24T10:46:45,CN,pos_terminal,luxury,3359.67,31,4,0,0,high value item
164,1174,2023-11-19T20:05:14,US,pos_terminal,gaming,4434.33,84,6,0,0,first time merchant
165,1174,2024-02-21T16:19:26,US,web,groceries,1714.01,68,6,0,0,new device
166,1053,2022-12-12T18:48:10,AU,web,groceries,3167.8,71,0,2,0,
167,1160,2023-05-25T07:44:56,US,web,electronics,2943.76,15,2,2,0,new device
168,1048,2022-12-04T12:01:14,CN,web,groceries,2948.87,56,6,2,0,first time merchant
169,1005,2022-04-09T22:07:26,SG,web,travel,3509.64,90,3,2,0,VPN suspected
170,1030,2023-08-02T03:50:06,UK,pos_terminal,groceries,4157.66,N/A,2,3,0,VPN suspected
171,1028,2024-10-08T04:05:49,US,pos_terminal,electronics,3222.04,47,0,1,0,overnight shipping
172,1024,2022-04-04T00:54:08,DE,web,gaming,2189.13,21,2,3,0,
173,1166,2022-12-08T03:08:44,JP,web,electronics,2954.16,66,3,0,0,high value item
174,1028,2024-04-22T14:02:04,US,mobile_app,electronics,3389.97,83,1,2,0,first time merchant
175,1088,2024-02-28T04:53:52,AU,pos_terminal,electronics,9671.86,70,6,3,0,overnight shipping
176,1103,2023-04-27T02:29:28,MY,mobile_app,electronics,2235.89,73,0,8,1,repeat purchase
177,1130,2023-02-28T20:42:29,AU,web,NA,1660.53,86,5,3,0,new device
178,1074,2024-12-05T11:44:06,US,web,luxury,3584.56,23,1,3,0,new device
179,1162,2022-09-10T14:29:42,AU,pos_terminal,groceries,22.68,80,6,1,0,
180,1082,2024-10-29T12:26:38,CN,mobile_app,luxury,4852.49,27,4,2,0,overnight shipping
181,1051,2023-03-06T19:45:18,DE,pos_terminal,groceries,3250.78,74,5,0,0,first time merchant
182,1136,2023-08-09T13:51:00,SG,web,luxury,3351.6,30,5,0,0,
183,1157,2023-04-05T23:41:35,US,pos_terminal,gaming,235.85,63,5,6,0,
184,1162,2024-01-24T18:34:47,AU,pos_terminal,groceries,887.95,33,5,6,0,NA
185,1039,2022-03-23T04:59:20,US,pos_terminal,travel,1506.47,80,6,1,0,
186,1023,2023-12-17T07:56:13,AU,mobile_app,gaming,4751.59,70,6,0,0,new device
187,1010,2023-10-20T12:58:50,UK,mobile_app,travel,124.5,57,4,0,0,overnight shipping
188,1137,2024-12-28T00:40:04,JP,pos_terminal,groceries,2121.62,,5,0,0,VPN suspected
189,1064,2022-05-25T18:52:14,UK,mobile_app,luxury,2165.69,25,5,0,0,high value item
190,1074,2023-09-10T19:05:18,US,mobile_app,luxury,3303.96,78,5,2,0,high value item
191,1165,2024-02-04T00:35:55,DE,web,electronics,7983.27,20,5,2,0,
192,1064,2023-02-02T03:11:42,UK,web,travel,2748.77,18,1,3,0,high value item
193,1049,2023-10-13T15:28:21,US,mobile_app,travel,2834.74,64,2,1,0,overnight shipping
194,1122,2024-08-05T14:22:49,AU,pos_terminal,electronics,3033.53,N/A,1,0,0,
195,1151,2023-03-12T01:35:16,US,pos_terminal,luxury,744.02,85,2,0,0,high value item
196,1175,2022-12-06T16:08:28,US,pos_terminal,travel,4838.71,71,0,3,0,new device
197,1092,2024-03-05T15:58:29,US,web,gaming,4842.24,45,2,1,0,first time merchant
198,1096,2023-04-02T16:25:22,SG,mobile_app,luxury,4435.97,27,1,2,0,overnight shipping
199,1106,2023-11-08T23:07:30,AU,mobile_app,groceries,3236.65,41,4,1,1,first time merchant
200,1132,2024-04-10T19:36:40,US,pos_terminal,gaming,1083.75,70,1,3,0,
201,1042,2023-12-03T14:38:37,CN,mobile_app,N/A,83.8,74,6,0,0,first time merchant
202,1123,2022-09-24T19:34:52,JP,pos_terminal,luxury,1852.52,77,6,3,0,
203,1065,2024-09-04T07:58:54,DE,pos_terminal,travel,945.92,10,0,3,0,overnight shipping
204,1149,2023-06-04T08:54:34,CN,mobile_app,travel,3403.35,62,4,2,0,overnight shipping
205,1035,2022-09-01T23:14:28,MY,web,electronics,2003.4,80,5,1,0,
206,1111,2022-06-30T02:16:14,JP,pos_terminal,electronics,4653.49,N/A,5,0,0,high value item
207,1132,2023-08-09T06:02:50,US,pos_terminal,groceries,3370.45,N/A,0,3,0,first time merchant
208,1023,2023-08-06T23:53:35,AU,mobile_app,gaming,4815.32,61,2,0,0,overnight shipping
209,1137,2023-05-28T22:28:24,JP,web,gaming,2294.78,85,3,0,0,new device
210,1090,2024-11-23T17:00:44,SG,web,gaming,3368.82,19,1,2,0,new device
211,1127,2023-02-13T07:47:15,DE,web,groceries,1249.23,29,0,3,0,first time merchant
212,1080,2024-10-05T18:55:17,JP,pos_terminal,gaming,3751.1,77,3,0,0,high value item
213,1132,2024-07-31T10:44:00,US,web,luxury,1627.86,43,2,3,0,new device
214,1095,2024-01-18T12:17:28,SG,web,travel,4071.14,40,6,1,0,VPN suspected
215,1161,2024-11-24T17:46:20,MY,mobile_app,gaming,2839.6,30,6,0,0,overnight shipping
216,1088,2022-02-10T13:07:22,AU,pos_terminal,groceries,3249.68,46,5,3,0,overnight shipping
217,1163,2023-11-22T13:40:39,US,web,electronics,1141.86,47,4,2,0,overnight shipping
218,1042,2023-01-12T00:08:46,CN,mobile_app,electronics,1985.83,70,0,0,0,repeat purchase
219,1063,2023-08-05T14:40:08,JP,web,electronics,1784.85,70,6,2,0,high value item
220,1162,2024-06-09T16:40:40,AU,mobile_app,luxury,4023.73,56,1,0,0,NA
221,1122,2023-09-06T00:49:27,AU,pos_terminal,groceries,2741.51,81,1,3,0,repeat purchase
222,1156,2023-07-11T09:41:47,MY,mobile_app,luxury,343.25,,4,3,1,repeat purchase
223,1032,2024-06-16T23:00:14,AU,web,luxury,2101.79,73,3,0,0,new device
224,1120,2023-01-07T06:57:53,SG,mobile_app,electronics,3840.96,66,0,0,0,VPN suspected
225,1040,2022-03-28T23:59:35,DE,mobile_app,luxury,994.42,95,0,3,0,overnight shipping
226,1010,2024-08-31T22:38:09,MY,web,groceries,457.92,90,2,0,0,first time merchant
227,1112,2023-01-31T00:44:24,MY,web,gaming,2427.03,47,3,1,0,VPN suspected
228,1141,2022-11-25T02:33:09,CN,mobile_app,travel,4.6,58,0,2,0,high value item
229,1048,2024-12-09T21:31:49,CN,pos_terminal,gaming,3204.88,76,0,1,1,repeat purchase
230,1099,2024-09-30T16:39:44,UK,web,gaming,3589.51,36,6,0,0,VPN suspected
231,1157,2023-06-29T16:02:46,US,mobile_app,electronics,4802.97,39,1,1,0,first time merchant
232,1163,2024-01-04T21:29:44,US,web,groceries,2750.28,94,4,2,0,overnight shipping
233,1082,2023-05-08T18:34:13,DE,pos_terminal,gaming,2262.56,10,2,1,0,overnight shipping
234,1176,2023-07-20T17:32:35,UK,pos_terminal,groceries,2302.39,43,4,2,0,VPN suspected
235,1083,2024-09-15T05:31:52,SG,pos_terminal,travel,477.72,14,4,0,0,
236,1058,2022-01-24T20:49:40,DE,mobile_app,travel,2700.11,74,1,3,0,first time merchant
237,1100,2022-10-31T04:21:05,UK,pos_terminal,electronics,1313.53,65,1,3,0,high value item
238,1134,2023-05-20T07:04:17,US,mobile_app,travel,3359.07,54,2,0,0,overnight shipping
239,1037,2024-06-21T01:59:52,US,pos_terminal,gaming,3642.71,,4,9,0,overnight shipping
240,1054,2023-02-22T17:33:48,SG,mobile_app,travel,707.6,12,5,2,0,
241,1002,2022-05-17T12:42:17,DE,pos_terminal,gaming,96.37,93,3,0,0,first time merchant
242,1117,2022-02-14T01:15:59,CN,mobile_app,luxury,785.87,55,2,2,0,N/A
243,1071,2023-04-07T04:21:57,AU,web,electronics,2604.07,90,3,1,0,first time merchant
244,1035,2023-02-19T04:19:44,MY,pos_terminal,groceries,4545.1,93,1,0,0,new device
245,1105,2024-04-22T09:28:47,DE,web,groceries,924.55,88,4,1,0,repeat purchase
246,1128,2024-08-18T22:41:23,CN,mobile_app,luxury,819.77,62,0,3,0,new device
247,1112,2024-09-30T22:20:55,MY,web,luxury,210.09,58,3,0,0,
248,1137,2024-03-21T23:02:35,JP,pos_terminal,electronics,2198.33,46,3,0,0,VPN suspected
249,1028,2023-01-04T18:57:44,US,mobile_app,luxury,125.54,35,0,1,0,repeat purchase
250,1098,2024-11-13T19:10:24,US,web,groceries,2827.89,29,1,0,0,
251,1033,2023-02-20T00:39:48,AU,mobile_app,N/A,2717.96,73,4,3,0,first time merchant
252,1053,2022-04-11T05:09:03,AU,web,groceries,3335.32,48,0,3,0,overnight shipping
253,1143,2022-12-30T14:47:37,DE,web,electronics,1614.79,18,6,2,0,
254,1178,2023-03-05T19:03:06,UK,pos_terminal,travel,2418.83,46,6,2,0,VPN suspected
255,1046,2023-04-22T22:18:12,DE,web,luxury,590.51,88,3,2,0,repeat purchase
256,1017,2023-09-23T09:32:35,CN,web,electronics,1707.47,88,6,2,0,VPN suspected
257,1123,2022-11-15T20:29:57,JP,mobile_app,luxury,2070.35,76,5,0,0,
258,1038,2023-07-29T00:21:24,UK,web,travel,937.71,49,2,2,0,new device
259,1134,2023-09-12T05:07:23,US,web,electronics,125.65,74,2,2,0,
260,1033,2023-02-25T23:02:29,AU,pos_terminal,electronics,9661.69,86,2,0,0,high value item
261,1053,2023-10-20T06:12:18,AU,mobile_app,luxury,1364.0,24,4,0,0,overnight shipping
262,1146,2023-05-17T05:04:19,JP,mobile_app,travel,651.24,16,0,3,0,first time merchant
263,1091,2023-10-02T10:52:12,JP,pos_terminal,travel,4614.0,82,6,3,0,high value item
264,1057,2022-10-22T19:16:58,CN,web,gaming,4412.14,13,0,3,0,overnight shipping
265,1027,2023-10-30T17:41:04,AU,pos_terminal,luxury,2067.8,80,3,2,0,VPN suspected
266,1139,2023-04-29T05:42:42,DE,pos_terminal,travel,572.5,51,6,2,0,repeat purchase
267,1083,2024-10-09T20:42:03,SG,web,travel,-30.2,29,2,3,0,overnight shipping
268,1111,2023-12-07T02:37:00,JP,pos_terminal,luxury,4262.67,80,0,2,0,repeat purchase
269,1081,2024-02-23T12:24:27,SG,pos_terminal,groceries,941.95,56,1,1,0,repeat purchase
270,1034,2022-06-23T04:41:51,DE,mobile_app,travel,3116.62,64,3,1,0,first time merchant
271,1068,2024-04-21T17:36:23,MY,web,travel,1843.52,20,5,2,0,first time merchant
272,1171,2022-06-09T21:40:34,JP,mobile_app,travel,1718.39,70,3,2,0,
273,1152,2023-09-15T23:50:36,AU,pos_terminal,luxury,2864.73,47,4,3,0,
274,1070,2023-06-11T00:47:07,MY,pos_terminal,groceries,1849.46,40,6,0,0,new device
275,1105,2024-02-24T07:42:28,DE,web,groceries,4209.32,43,0,3,0,high value item
276,1174,2024-03-09T15:16:09,US,mobile_app,electronics,3986.75,50,5,0,0,
277,1085,2023-07-08T08:51:06,DE,pos_terminal,luxury,3376.78,,4,1,1,repeat purchase
278,1175,2024-07-02T11:14:46,US,web,electronics,460.61,94,1,0,0,
279,1165,2023-01-14T03:44:11,DE,mobile_app,electronics,4613.55,64,5,2,0,overnight shipping
280,1015,2023-06-13T08:11:28,CN,web,,3227.77,79,1,0,0,repeat purchase
281,1114,2022-02-08T15:09:41,SG,web,luxury,3500.58,120,6,3,0,N/A
282,1123,2022-09-06T18:34:59,AU,pos_terminal,gaming,3161.73,21,6,0,0,NA
283,1169,2023-01-27T09:44:24,JP,pos_terminal,gaming,4426.19,34,1,1,0,first time merchant
284,1115,2022-02-03T01:21:03,US,pos_terminal,,1059.18,76,5,1,0,N/A
285,1011,2023-05-13T22:41:08,US,pos_terminal,electronics,4103.88,88,4,0,0,first time merchant
286,1173,2024-04-03T10:07:43,CN,web,gaming,3965.72,85,0,1,0,overnight shipping
287,1010,2022-10-01T03:50:54,MY,mobile_app,groceries,7434.84,32,5,2,0,
288,1069,2024-12-07T14:26:15,MY,pos_terminal,groceries,3060.64,48,0,1,0,repeat purchase
289,1129,2023-03-26T14:49:40,MY,mobile_app,electronics,3983.27,70,1,0,0,new device
290,1116,2022-03-30T03:47:03,SG,web,electronics,581.21,66,2,2,0,new device
291,1096,2023-03-28T02:30:37,SG,mobile_app,N/A,3047.56,57,5,2,0,new device
292,1119,2024-07-28T13:10:48,AU,mobile_app,travel,3973.03,31,4,0,0,
